Subset,MAE,Completed
Amino20x4,0.6721547543440132,True
BHROT27,0.9269325609310932,True
FH51,1.5511148410633622,True
TAUT15,0.711604314580482,True
WCPT18,4.687075487294124,True
ISOL24,2.414616903335943,True
PCONF21,1.0979993287243675,True
ALK8,,False
DARC,1.0722826738756603,True
ICONF,0.8680552150690859,True
ISO34,0.7480342554167316,True
UPU23,2.3697549234026956,True
RG18,,False
DC13,5.313896529483776,False
BH76,31.29680287849401,True
RSE43,115.89129417120988,True
INV24,3.3663768176659983,True
PX13,11.511316388432842,True
RC21,17.145147887417558,True
CHB6,,False
G2RC,1.6523209030607058,False
BHDIV10,5.1378115304032095,True
BHPERI,7.096662513149932,True
NBPRC,14.2902299614014,True
PArel,1.9921536493041785,True
AL2X6,,False
HEAVYSB11,,False
C60ISO,14.089048688116796,True
SCONF,1.551809447550023,True
MCONF,0.43219231405528263,True
DIPCS10,15.664098436808871,False
S22,1.1742551749917303,True
PA26,4.306693618413023,True
YBDE18,10.184385331563284,True
BH76RC,22.782694855680678,True
IDISP,1.558086504158176,True
MB16-43,,False
G21IP,66.27221566970618,False
HAL59,2.657321408353006,True
BUT14DIOL,0.16587628838315138,True
CARBHB12,1.5507757894996856,True
AHB21,1.8491043543601628,True
PNICO23,3.8203497018356942,True
G21EA,23.120102327221076,True
CDIE20,0.9363132076818147,True
IL16,1.7443622629641684,True
BSR36,8.882624014874631,True
HEAVY28,,False
ALKBDE10,,False
WATER27,7.243782735778113,True
ADIM6,1.5256975991733874,True
SIE4x4,74.24544776146023,False
S66,0.754674157578252,True
ACONF,0.35575265604686773,True
W4-11,129.17122080903596,False
